id,title__en,description__en,icon,tags,props__url,props__scheme,props__osi_approved
0bsd,BSD Zero Clause License,,,"all,software",https://opensource.org/license/0bsd,spdx,y
aal,Attribution Assurance License,,,"all,software",https://opensource.org/license/attribution-php,spdx,y
adsl,Amazon Digital Services License,,,all,https://spdx.org/licenses/ADSL,spdx,
afl-1.1,Academic Free License v1.1,,,"all,software",https://spdx.org/licenses/AFL-1.1,spdx,y
afl-1.2,Academic Free License v1.2,,,"all,software",https://spdx.org/licenses/AFL-1.2,spdx,y
afl-2.0,Academic Free License v2.0,,,"all,software",https://spdx.org/licenses/AFL-2.0,spdx,y
afl-2.1,Academic Free License v2.1,,,"all,software",https://spdx.org/licenses/AFL-2.1,spdx,y
afl-3.0,Academic Free License v3.0,,,"all,software",https://opensource.org/license/afl-3-0-php,spdx,y
agpl-1.0-only,Affero General Public License v1.0 only,,,"all,software",https://spdx.org/licenses/AGPL-1.0-only,spdx,
agpl-1.0-or-later,Affero General Public License v1.0 or later,,,"all,software",https://spdx.org/licenses/AGPL-1.0-or-later,spdx,
agpl-3.0-only,GNU Affero General Public License v3.0 only,,,"all,software",https://opensource.org/license/agpl-v3,spdx,y
agpl-3.0-or-later,GNU Affero General Public License v3.0 or later,,,"all,software",https://spdx.org/licenses/AGPL-3.0-or-later,spdx,y
amdplpa,AMD's plpa_map.c License,,,all,https://spdx.org/licenses/AMDPLPA,spdx,
aml,Apple MIT License,,,"all,software",https://spdx.org/licenses/AML,spdx,
ampas,Academy of Motion Picture Arts and Sciences BSD,,,all,https://spdx.org/licenses/AMPAS,spdx,
antlr-pd,ANTLR Software Rights Notice,,,"all,software",https://spdx.org/licenses/ANTLR-PD,spdx,
antlr-pd-fallback,ANTLR Software Rights Notice with license fallback,,,"all,software",https://spdx.org/licenses/ANTLR-PD-fallback,spdx,
apafml,Adobe Postscript AFM License,,,all,https://spdx.org/licenses/APAFML,spdx,
apl-1.0,Adaptive Public License 1.0,,,"all,software",https://opensource.org/license/apl1-0-php,spdx,y
apsl-1.0,Apple Public Source License 1.0,,,"all,software",https://spdx.org/licenses/APSL-1.0,spdx,y
apsl-1.1,Apple Public Source License 1.1,,,"all,software",https://spdx.org/licenses/APSL-1.1,spdx,y
apsl-1.2,Apple Public Source License 1.2,,,"all,software",https://spdx.org/licenses/APSL-1.2,spdx,y
apsl-2.0,Apple Public Source License 2.0,,,"all,software",https://opensource.org/license/apsl-2-0,spdx,y
