role,role_name,datacite,notes
ContactPerson, Contact Person,
DataCollector, Data Collector,
DataCurator, Data Curator,
DataManager, Data Manager,
Distributor, Distributor,
Editor, Editor,
HostingInstitution, Hosting Institution,
Producer, Producer,
ProjectLeader, Project Leader,
ProjectManager, Project Manager,
ProjectMember, Project Member,
RegistrationAgency, Registration Agency,
RegistrationAuthority, Registration Authority,
RelatedPerson, Related Person,
Researcher, Researcher,
ResearchGroup, Research Group,
RightsHolder, Rights Holder,
Sponsor, Sponsor,
Supervisor, Supervisor,
WorkPackageLeader, Work Package Leader,
Other, Other,
